external_id,purchase_collection
product_template_12620_1741e30e,ESTRUCTURA METALICA
product_template_12619_a41f4182,ESTRUCTURA METALICA
product_template_12622_2ec0004d,MLM
product_template_12623_54693505,MLM
product_template_9034_fc3b9a86,HERRAJE
product_template_9743_79ccdd5e,TABLERO MECANIZADO
product_template_13368_3a64ca47,MLM
product_template_11VL8020_379561,VLS
product_template_11VL8030_369733,VLS
product_template_10538_b133e047,TABLERO MECANIZADO
product_template_9567_e5d374ed,SEN
product_template_ZC0011_631613,MLM
product_template_9436_d460e362,MLM
product_template_8828_1f9756ab,MLM
product_template_P_ZC0051_410657,MLM
product_template_9565_13c81f82,MLM
product_template_13SK8311MP_129642,STH
product_template_13SK7451MP_242851,STH
product_template_13SK8221MP_942732,STH
product_template_MT0741_186829,MLM
product_template_13615_55f12d09,PROTOTIPO
product_template_ZC0200_375165,MLM
product_template_ZC0300_298536,MLM
product_template_ZC0400_412962,MLM
product_template_ZC0500_892451,MLM
product_template_ZC0600_848479,MLM
product_template_ME3110_226238,METAL
product_template_12397_82214469,MLM
product_template_ZC1000_601020,STH/SSX
product_template_ZC0040_905295,STH/SSX
product_template_ZC0055_470313,STH/SSX
product_template_13AC1021MP_603026,TAC
product_template_12AC1021MP_910082,VLS
product_template_12AC1031MP_192454,VLS
product_template_ZC0010_739975,STH/SSX
product_template_ZC0041_780376,ZOCALO
product_template_13401_e83293b2,BEA
product_template_13402_4ef043a8,BEA
product_template_13584_057e4330,BEA
product_template_13583_efcb273a,BEA
product_template_13390_e4209755,BEA
product_template_12132_bb388d18,BEA
product_template_13469_41e25083,BEA
product_template_13458_bd2acb86,BEA
product_template_13470_b5e382f5,BEA
product_template_13457_71adab64,BEA
product_template_13472_2e4579e3,BEA
product_template_13455_4c3be757,BEA
product_template_13471_1b57dcf1,BEA
product_template_13456_27e13f2a,BEA
product_template_13466_22ba1473,BEA
product_template_13460_ff30b7ab,BEA
product_template_13465_bdea2f7a,BEA
product_template_13464_0f5d9baa,BEA
product_template_13468_49c84849,BEA
product_template_13459_be8b6ca1,BEA
product_template_13467_f211f6a3,BEA
product_template_13462_eae8c879,BEA
product_template_13598_168a5714,BEA
product_template_13100_67ff77db,BEA
product_template_13101_297c8a20,BEA
product_template_13102_2cf60710,BEA
product_template_13284_d1c763f9,BEA
product_template_13273_3a767eab,BEA
product_template_13242_b1a3f0e9,BEA
product_template_12134_c8afde96,BEA
product_template_13516_bc35f719,BEA
product_template_13274_837196be,BEA
product_template_13241_b4b20e26,BEA
product_template_12133_e7b35c29,BEA
product_template_13282_f83cc831,BEA
product_template_13271_c93a8eb5,BEA
product_template_13246_5d84b6f1,BEA
product_template_13281_a6d287f7,BEA
product_template_13270_54843540,BEA
product_template_13247_cc780769,BEA
product_template_13280_3f3ea59b,BEA
product_template_13269_5cbd3590,BEA
product_template_13248_8075de19,BEA
product_template_13259_545f2571,BEA
product_template_13260_860e986d,BEA
product_template_13258_fa164f26,BEA
product_template_13283_505671ed,BEA
product_template_13272_d1e39e17,BEA
product_template_13245_43b56abd,BEA
product_template_13542_a39cc9a2,BEA
product_template_13278_94105333,BEA
product_template_13267_647cb141,BEA
product_template_13252_1568b7d9,BEA
product_template_13277_9fda48e8,BEA
product_template_13266_f705a378,BEA
product_template_13253_a2529152,BEA
product_template_13276_6b2c65c4,BEA
product_template_13265_3f9f152d,BEA
product_template_13254_44ec5e42,BEA
product_template_13255_354b63d8,BEA
product_template_13257_72a8392a,BEA
product_template_13256_970c5a66,BEA
product_template_13279_b73eb364,BEA
product_template_13268_10e7e7f1,BEA
product_template_13251_5a09edf4,BEA
product_template_13581_f9b8b975,BEA
product_template_13098_b9cc1be5,BEA
product_template_13097_e74a29b2,BEA
product_template_13099_6d294ea9,BEA
product_template_12130_deca9296,BEA
product_template_11916_898ebf2a,BEA
product_template_11918_e59b98b1,BEA
product_template_11917_aa9b95fd,BEA
product_template_11625_69c0ab0b,BEA
product_template_12766_7f1ee2c5,BEA
product_template_13406_5a3f6f5e,BEA
product_template_13395_44b37fec,BEA
product_template_13405_f01600b3,BEA
product_template_13394_b60a82b6,BEA
product_template_13404_f3db5efe,BEA
product_template_13393_e29aa7ab,BEA
product_template_13403_421f962c,BEA
product_template_13392_e20f56f2,BEA
product_template_13407_8803fe3b,BEA
product_template_13397_2a7c666c,BEA
product_template_13408_9693c292,BEA
product_template_13396_d6f05e60,BEA
product_template_12509_e3ab3796,BEA
product_template_13399_0bbe3d8e,BEA
product_template_13400_fccd80b4,BEA
product_template_12919_b7ed5906,BEA
product_template_12920_170b7086,BEA
product_template_13595_f5efe314,BEA
product_template_12918_a057e2f0,BEA
product_template_13110_46a7bdd6,BEA
product_template_12787_b6e0f29c,HERRAJE
product_template_70661_744394,TAC
product_template_10467_6ddc3542,BISAGRA
product_template_9785_960d45ff,ERN
product_template_9783_1da69480,ERN
product_template_9784_d0b6673a,ERN
product_template_740175_785408,BISAGRA
product_template_71481_786235,BISAGRA
product_template_71482_477361,BISAGRA
product_template_70242_331388,STH
product_template_98055_813355,SSX
product_template_12627_2f8429e8,EMBALAJE
product_template_90800_284600,EMBALAJE
product_template_79030_734836,ERN
product_template_8895_57f40995,EMBALAJE
product_template_13088_fa1e2bdd,PULIMENTO
product_template_13089_7c54dde9,PULIMENTO
product_template_99286_255740,EMBALAJE
product_template_99283_788350,EMBALAJE
product_template_12770_2b07fdca,PULIMENTO
product_template_11301_bc79e1cd,TAC
product_template_10098_52f2cf67,SSX
product_template_12063_a3844d24,TAC
product_template_13611_c2137473,CONSUMIBLES
product_template_11932_0ac70d2e,CONSUMIBLES
product_template_10573_bdad9d49,PULIMENTO
product_template_11PL1311MP_141180,PLT
product_template_11496_6119d4d4,TAC
product_template_11497_dad5a43c,TAC
product_template_35BR6080_485839,BRD
product_template_11300_aa9c832e,ELECTRIFICACION
product_template_10470_6ff72112,ELECTRIFICACION
product_template_70049_980680,ELECTRIFICACION
product_template_74255_732268,ELECTRIFICACION
product_template_74056_346535,ELECTRIFICACION
product_template_74055_887422,ELECTRIFICACION
product_template_74057_696885,ELECTRIFICACION
product_template_74058_899926,ELECTRIFICACION
product_template_74061_825856,ELECTRIFICACION
product_template_74060_711836,ELECTRIFICACION
product_template_74261_381308,ELECTRIFICACION
product_template_8469_c666f9db,MLM
product_template_8470_d1d1e7fc,MLM
